IMPLEMENTATION,A_ROWS,A_COLUMNS,SPARSITY,TIME(ms)
Cpp-DENSE,1000,1000,0,9035.283203
CUDA-DENSE,1000,1000,0,6067.909668
CUDA-SPARSE,1000,1000,0.8,2257.822510
CUBLAS-DENSE,1000,1000,0,4237.624512
CUSPARSE-SPARSE,1000,1000,0.8,2573.072754
Cpp-DENSE,1500,1500,0,30575.632812
CUDA-DENSE,1500,1500,0,16302.713867
CUDA-SPARSE,1500,1500,0.8,4803.706055
CUBLAS-DENSE,1500,1500,0,11057.727539
CUSPARSE-SPARSE,1500,1500,0.8,5590.877441
Cpp-DENSE,2000,2000,0,72589.570312
CUDA-DENSE,2000,2000,0,37556.097656
CUDA-SPARSE,2000,2000,0.8,9315.619141
CUBLAS-DENSE,2000,2000,0,22898.808594
CUSPARSE-SPARSE,2000,2000,0.8,10274.816406
Cpp-DENSE,2500,2500,0,342405.218750
CUDA-DENSE,2500,2500,0,71618.812500
CUDA-SPARSE,2500,2500,0.8,15678.653320
CUBLAS-DENSE,2500,2500,0,42034.871094
CUSPARSE-SPARSE,2500,2500,0.8,17491.482422
Cpp-DENSE,3000,3000,0,602611.125000
CUDA-DENSE,3000,3000,0,115691.757812
CUDA-SPARSE,3000,3000,0.8,25079.345703
CUBLAS-DENSE,3000,3000,0,69780.101562
CUSPARSE-SPARSE,3000,3000,0.8,27932.287109
Cpp-DENSE,3500,3500,0,1031176.750000
CUDA-DENSE,3500,3500,0,189352.062500
CUDA-SPARSE,3500,3500,0.8,37921.238281
CUBLAS-DENSE,3500,3500,0,108186.312500
CUSPARSE-SPARSE,3500,3500,0.8,42335.484375
Cpp-DENSE,4000,4000,0,1524241.625000
CUDA-DENSE,4000,4000,0,281956.250000
CUDA-SPARSE,4000,4000,0.8,55004.574219
CUBLAS-DENSE,4000,4000,0,158946.906250
CUSPARSE-SPARSE,4000,4000,0.8,61391.820312
Cpp-DENSE,4500,4500,0,2117635.500000
CUDA-DENSE,4500,4500,0,390680.375000
CUDA-SPARSE,4500,4500,0.8,76192.375000
CUBLAS-DENSE,4500,4500,0,224510.218750
CUSPARSE-SPARSE,4500,4500,0.8,85303.398438
Cpp-DENSE,5000,5000,0,2979515.750000
CUDA-DENSE,5000,5000,0,548953.875000
CUDA-SPARSE,5000,5000,0.8,102288.257812
CUBLAS-DENSE,5000,5000,0,306095.937500
CUSPARSE-SPARSE,5000,5000,0.8,115303.406250
Cpp-DENSE,5500,5500,0,3941481.750000
CUDA-DENSE,5500,5500,0,721668.000000
CUDA-SPARSE,5500,5500,0.8,132162.421875
CUBLAS-DENSE,5500,5500,0,400066.406250
CUSPARSE-SPARSE,5500,5500,0.8,150343.531250
Cpp-DENSE,6000,6000,0,5702592.000000
CUDA-DENSE,6000,6000,0,928490.875000
CUDA-SPARSE,6000,6000,0.8,172348.109375
CUBLAS-DENSE,6000,6000,0,524006.031250
CUSPARSE-SPARSE,6000,6000,0.8,197156.875000
Cpp-DENSE,6500,6500,0,6652286.500000
CUDA-DENSE,6500,6500,0,1209029.750000
CUDA-SPARSE,6500,6500,0.8,218115.687500
CUBLAS-DENSE,6500,6500,0,663909.250000
CUSPARSE-SPARSE,6500,6500,0.8,250629.968750
Cpp-DENSE,7000,7000,0,7486826.500000
CUDA-DENSE,7000,7000,0,1486450.625000
CUDA-SPARSE,7000,7000,0.8,269351.812500
CUBLAS-DENSE,7000,7000,0,824290.875000
CUSPARSE-SPARSE,7000,7000,0.8,310206.531250
Cpp-DENSE,7500,7500,0,9084996.000000
CUDA-DENSE,7500,7500,0,1818773.000000
CUDA-SPARSE,7500,7500,0.8,330605.500000
CUBLAS-DENSE,7500,7500,0,1011736.562500
CUSPARSE-SPARSE,7500,7500,0.8,380851.437500
Cpp-DENSE,8000,8000,0,11089352.000000
CUDA-DENSE,8000,8000,0,2211382.000000
CUDA-SPARSE,8000,8000,0.8,398407.906250
CUBLAS-DENSE,8000,8000,0,1226461.125000
CUSPARSE-SPARSE,8000,8000,0.8,464059.781250
CUDA-DENSE,8500,8500,0,2650126.250000
CUDA-SPARSE,8500,8500,0.8,474729.843750
CUBLAS-DENSE,8500,8500,0,1468060.375000
CUSPARSE-SPARSE,8500,8500,0.8,559479.437500
CUDA-DENSE,9000,9000,0,3126977.250000
CUDA-SPARSE,9000,9000,0.8,560897.312500
CUBLAS-DENSE,9000,9000,0,1740420.250000
CUSPARSE-SPARSE,9000,9000,0.8,668963.625000
CUDA-DENSE,9500,9500,0,3703034.250000
CUDA-SPARSE,9500,9500,0.8,657371.375000
CUBLAS-DENSE,9500,9500,0,2046065.250000
CUSPARSE-SPARSE,9500,9500,0.8,838995.500000
