A_ROWS,Cpp-DENSE,CUDA-DENSE,CUDA-SPARSE,CUBLAS-DENSE,CUSPARSE-SPARSE
1000,0.01774,0.00344,0.00024,0.00417,0.00042
1500,0.04451,0.04059,0.00145,0.02306,0.00983
2000,0.78758,0.03062,0.05117,0.06697,0.04953
2500,0.00228,0.00083,0.00134,0.00060,0.00086
3000,0.00153,0.00041,0.00012,0.00034,0.00014
3500,0.00148,0.00015,0.00040,0.00060,0.00010
4000,0.00782,0.00034,0.00040,0.00013,0.00119
4500,0.00991,0.00098,0.00853,0.00739,0.00575
5000,,0.00018,0.00058,0.00006,0.00006
5500,,0.00042,0.00033,0.00012,0.00033
6000,,0.00237,0.00151,0.00173,0.00230
6500,,0.00007,0.00007,0.00004,0.00020
7000,,0.01310,0.01141,0.04927,0.06066
7500,,0.02260,0.00758,0.02353,0.01435
8000,,0.00230,0.06865,0.04395,0.02216
